Product_Id,Precio_de_lista,Precio_con_Descuento,Marca,Categoria,Disponibilidad
285,55.99,55.99,Ebern Designs,"Food|Condiments, Sauces & Spices|Salad Dressings & Toppings",TRUE
286,55.99,55.99,Ebern Designs,"Food|Condiments, Sauces & Spices|Salad Dressings & Toppings",TRUE
287,55.99,55.99,Ebern Designs,"Food|Condiments, Sauces & Spices|Salad Dressings & Toppings",TRUE
288,55.99,55.99,Ebern Designs,"Food|Condiments, Sauces & Spices|Salad Dressings & Toppings",TRUE
289,55.99,55.99,Ebern Designs,"Food|Condiments, Sauces & Spices|Salad Dressings & Toppings",TRUE
290,55.99,55.99,Ebern Designs,"Food|Condiments, Sauces & Spices|Salad Dressings & Toppings",TRUE
291,57.99,57.99,Ebern Designs,"Food|Condiments, Sauces & Spices|Salad Dressings & Toppings",TRUE
292,57.99,57.99,Ebern Designs,"Food|Condiments, Sauces & Spices|Salad Dressings & Toppings",TRUE
293,57.99,57.99,Ebern Designs,"Food|Condiments, Sauces & Spices|Salad Dressings & Toppings",TRUE
294,57.99,57.99,Ebern Designs,"Food|Condiments, Sauces & Spices|Salad Dressings & Toppings",TRUE
295,57.99,57.99,Ebern Designs,"Food|Condiments, Sauces & Spices|Salad Dressings & Toppings",TRUE
296,57.99,57.99,Ebern Designs,"Food|Condiments, Sauces & Spices|Salad Dressings & Toppings",TRUE
297,58.99,58.99,Ebern Designs,"Food|Condiments, Sauces & Spices|Salad Dressings & Toppings",TRUE
298,59.99,59.99,Ebern Designs,"Food|Condiments, Sauces & Spices|Salad Dressings & Toppings",TRUE
299,60,60,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,FALSE
300,60,60,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,FALSE
301,60,60,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,FALSE
302,60,60,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,FALSE
303,60,60,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,FALSE
304,60,60,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,FALSE
305,60,60,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,FALSE
306,60,60,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,FALSE
307,60,60,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,FALSE
308,60,60,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
309,60,60,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,FALSE
310,60.45,60.45,TerraVita,Food|Beverages|Tea|Tea Bags,TRUE
311,62.99,62.99,Ebern Designs,"Food|Condiments, Sauces & Spices|Salad Dressings & Toppings",TRUE
312,71,71,HP,Electronics|Computers|Computer Components|Motherboards,FALSE
313,78.32,78.32,TerraVita,Food|Beverages|Tea|Tea Bags,TRUE
314,87.48,87.48,HMK,Auto & Tires|Motorcycle|Motorcycle Gear|Motorcycle Jackets,FALSE
315,88.7,88.7,HMK,Auto & Tires|Motorcycle|Motorcycle Gear|Motorcycle Jackets,FALSE
316,91.36,91.36,TerraVita,Health|Vitamins & Supplements|Letter Vitamins,TRUE
317,93.99,93.99,HP,Electronics|Computers|Computer Accessories|Batteries & A,FALSE
318,116.39,116.39,Vickerman,Party & Occasions|Christmas Trees & Holiday Decor|Christmas Trees|Christmas Trees by Style|Unlit Christmas Trees,FALSE
319,126.96,126.96,TerraVita,Food|Beverages|Tea|Tea Bags,TRUE
320,132.42,132.42,HMK,Auto & Tires|Motorcycle|Motorcycle Gear|Motorcycle Jackets,FALSE
321,132.42,132.42,HMK,Auto & Tires|Motorcycle|Motorcycle Gear|Motorcycle Jackets,FALSE
322,132.42,132.42,HMK,Auto & Tires|Motorcycle|Motorcycle Gear|Motorcycle Jackets,FALSE
323,152.99,152.99,HP,Electronics|Computers|Desktop Computers|Desktops By Brand|HP Desktop Computers,FALSE
324,194.99,194.99,HP,Electronics|Computers|Laptops|Laptops By Brand|HP Laptops,FALSE
325,209.95,209.95,HMK,Auto & Tires|Motorcycle|Motorcycle Gear|Motorcycle Jackets,FALSE
326,209.95,209.95,HMK,Auto & Tires|Motorcycle|Motorcycle Gear|Motorcycle Jackets,FALSE
327,209.95,209.95,HMK,Auto & Tires|Motorcycle|Motorcycle Gear|Motorcycle Jackets,FALSE
328,209.95,209.95,HMK,Auto & Tires|Motorcycle|Motorcycle Gear|Motorcycle Jackets,FALSE
329,209.95,209.95,HMK,Auto & Tires|Motorcycle|Motorcycle Gear|Motorcycle Jackets,FALSE
